revenue_id,reservation_id,property_id,date,gross_revenue,management_commission,net_revenue,source
REV0066,R0066,P002,2026-05-07,258,38.7,219.3,Airbnb
REV0067,R0067,P002,2026-05-02,665,99.75,565.25,Airbnb
REV0068,R0068,P002,2026-05-02,696,104.4,591.6,Airbnb
REV0069,R0069,P002,2026-05-17,186,27.9,158.1,Airbnb
REV0070,R0070,P002,2026-05-03,189,28.35,160.65,Airbnb
REV0071,R0071,P003,2026-05-13,254,38.1,215.9,Airbnb
REV0072,R0072,P003,2026-05-19,360,54.0,306.0,Airbnb
REV0073,R0073,P003,2026-05-03,695,104.25,590.75,Airbnb
REV0074,R0074,P003,2026-05-19,570,85.5,484.5,Airbnb
REV0075,R0075,P003,2026-05-07,665,99.75,565.25,Airbnb
REV0076,R0076,P001,2026-06-05,959,143.85,815.15,Airbnb
REV0077,R0077,P001,2026-06-15,256,38.4,217.6,Airbnb
REV0078,R0078,P001,2026-06-15,762,114.3,647.7,Airbnb
REV0079,R0079,P001,2026-06-03,492,73.8,418.2,Airbnb
REV0080,R0080,P001,2026-06-09,297,44.55,252.45,Airbnb
REV0081,R0081,P002,2026-06-10,333,49.95,283.05,Airbnb
REV0082,R0082,P002,2026-06-10,828,124.2,703.8,Airbnb
REV0083,R0083,P002,2026-06-01,875,131.25,743.75,Airbnb
REV0084,R0084,P002,2026-06-04,264,39.6,224.4,Airbnb
REV0085,R0085,P002,2026-06-04,875,131.25,743.75,Airbnb
REV0086,R0086,P003,2026-06-20,294,44.1,249.9,Airbnb
REV0087,R0087,P003,2026-06-09,702,105.3,596.7,Airbnb
REV0088,R0088,P003,2026-06-02,272,40.8,231.2,Airbnb
REV0089,R0089,P003,2026-06-09,110,16.5,93.5,Airbnb
REV0090,R0090,P003,2026-06-05,616,92.4,523.6,Airbnb
